x,y,z
8,4,15
16,15,20
10,10,7
16,7,16
18,12,6
9,6,6
25,13,17
26,1,10
3,14,12
10,13,12
23,5,20
25,5,13
10,20,20
27,9,19
10,12,16
18,13,7
26,2,11
25,6,14
19,14,20
18,16,12
26,13,20
12,13,10
25,9,19
12,5,6
10,5,13
18,15,16
12,16,15
10,16,22
21,15,14
19,15,21
21,7,10
1,7,15
19,7,17
12,6,7
28,5,14
12,17,16
18,8,13
12,9,12
3,10,19
2,12,11
10,9,19
22,12,12
18,11,18
21,8,11
22,4,8
29,5,19
10,8,23
14,18,9
21,19,20
6,15,14
8,18,12
18,1,10
6,18,19
18,12,19
18,4,15
5,11,11
12,12,22
4,15,14
16,18,7
12,4,18
24,15,15
8,19,13
2,7,17
14,10,10
8,11,9
14,2,6
6,11,16
21,3,17
21,11,21
7,12,5
5,12,12
12,13,23
5,4,8
12,5,19
4,8,11
16,11,4
2,8,18
30,10,18
16,14,9
14,14,16
14,6,12
8,3,10
23,12,13
23,4,9
8,14,19
23,16,20
14,3,6
7,15,15
16,7,6
5,15,22
5,7,18
16,6,10
8,15,20
23,5,10
8,7,16
16,17,19
10,12,6
16,9,15
14,9,22
26,12,15
9,8,5
25,8,14
5,8,19
18,18,12
27,11,18
19,14,10
19,6,6
16,18,20
16,10,16
14,10,23
16,2,12
30,5,16
10,16,12
23,8,20
18,19,13
1,9,15
23,0,16
19,15,11
25,12,20
27,12,19
19,7,7
27,4,15
20,3,5
12,19,16
10,19,23
16,3,13
26,5,11
10,11,19
28,9,11
1,10,16
23,1,17
18,11,8
12,8,6
10,8,13
16,5,22
12,20,17
26,8,22
22,14,11
21,18,14
18,14,19
21,10,10
29,7,18
19,10,17
19,2,13
18,4,5
3,14,15
26,1,13
12,12,12
18,3,9
3,13,19
10,12,19
12,4,8
10,4,15
22,15,12
21,11,11
28,4,17
29,8,19
21,3,7
22,18,17
19,3,14
21,14,16
12,15,23
6,10,10
19,6,19
12,5,9
3,6,16
18,15,19
18,7,15
21,7,13
4,10,10
6,3,7
2,10,17
5,18,18
8,14,9
14,13,10
21,6,17
28,5,17
14,16,15
18,0,12
21,9,22
5,15,12
23,15,14
5,7,8
12,8,19
4,11,11
8,15,10
8,7,6
4,14,16
16,17,9
14,17,16
16,9,5
8,18,15
14,9,12
21,10,23
24,14,17
21,2,19
5,8,9
8,17,19
7,11,7
5,11,14
23,11,16
16,18,10
24,15,18
16,10,6
14,2,9
21,3,20
23,8,10
7,14,18
8,10,16
16,20,19
6,10,23
20,5,5
25,12,10
14,12,22
9,11,5
10,19,13
7,3,8
10,11,9
19,17,10
19,9,6
5,6,20
8,3,13
16,13,16
14,13,23
16,5,12
8,14,22
14,5,19
26,8,12
16,16,21
25,4,11
7,15,18
9,7,7
18,14,9
19,10,7
25,7,16
27,7,15
16,6,13
16,17,22
16,9,18
10,4,5
26,12,18
26,4,14
25,8,17
18,18,15
29,11,14
12,15,13
10,15,20
12,7,9
19,6,9
10,7,16
19,13,17
19,5,13
18,7,5
22,13,14
3,9,11
1,9,18
12,19,19
18,10,16
21,6,7
12,11,15
18,2,12
10,11,22
21,17,16
21,9,12
19,9,19
12,8,9
6,16,15
28,8,18
3,12,21
22,14,14
18,14,22
21,10,13
5,10,9
21,2,9
12,3,16
19,2,16
5,13,14
6,17,16
4,9,13
18,3,12
3,5,18
7,14,8
5,14,15
8,10,6
6,10,13
12,7,22
14,20,16
16,12,5
14,12,12
21,13,23
14,4,8
21,5,19
6,12,22
23,14,16
4,10,13
8,16,22
14,13,13
16,13,6
14,5,9
21,6,20
16,16,11
7,17,18
14,16,18
8,13,16
5,9,21
8,5,12
23,15,17
4,5,20
23,7,13
10,14,9
30,5,17
7,18,19
9,10,8
16,9,8
27,10,16
5,10,22
8,6,13
16,8,12
8,17,22
14,8,19
19,16,13
8,9,18
10,15,10
10,7,6
18,17,9
26,14,17
19,13,7
10,18,15
25,10,16
23,10,23
27,2,11
23,2,19
4,6,20
7,14,21
29,6,11
16,12,18
16,4,14
1,8,12
9,11,8
18,10,6
25,11,17
12,11,5
7,3,11
25,3,13
26,7,14
1,11,17
23,3,20
12,18,13
27,3,12
27,6,17
19,9,9
10,10,16
10,2,12
16,5,15
10,13,21
3,12,11
1,12,18
19,12,20
26,11,20
12,3,6
18,13,16
12,14,15
10,14,22
22,17,15
19,1,10
3,13,12
18,16,21
21,16,19
10,3,12
28,3,14
18,6,13
12,7,12
18,17,22
21,13,13
18,9,18
19,13,20
21,5,9
19,5,16
22,13,17
6,12,12
6,4,8
14,15,13
8,16,12
3,8,18
28,7,20
18,2,15
5,17,15
5,9,11
12,10,22
6,5,9
12,2,18
4,5,10
2,5,17
6,16,18
14,7,8
4,16,19
16,19,12
14,19,19
24,16,20
23,6,7
14,11,15
7,10,5
23,17,16
5,10,12
23,9,12
12,3,19
14,8,9
5,13,17
