x,y,z
23,15,5
16,19,10
23,18,10
7,18,7
7,21,12
26,22,9
6,1,9
15,8,12
23,10,11
5,2,5
7,13,13
26,15,6
26,18,11
3,23,9
10,21,13
22,24,6
7,6,10
19,12,8
10,14,10
22,17,3
22,20,8
18,6,1
6,23,10
21,13,1
18,9,6
5,24,6
22,13,5
22,12,9
2,12,8
14,18,6
13,6,8
14,27,11
13,9,13
22,8,11
14,11,3
6,11,13
5,13,5
5,12,9
17,11,0
17,10,4
5,5,6
8,12,6
20,18,4
17,22,14
9,28,11
20,11,1
25,17,10
9,20,12
28,22,5
13,24,11
21,26,10
25,10,7
20,6,7
9,13,9
21,19,7
20,15,12
12,21,9
9,6,6
9,9,11
21,12,4
12,13,10
24,19,8
4,19,7
3,15,12
21,7,10
15,21,10
12,6,7
12,9,12
4,12,4
23,13,1
8,15,7
20,21,5
27,20,5
7,19,8
4,4,5
4,7,10
16,10,3
23,9,3
8,11,9
25,20,11
27,12,6
7,12,5
19,18,3
16,22,13
8,3,10
15,2,10
0,9,7
14,3,6
19,11,0
7,7,11
26,9,4
28,21,8
10,12,6
12,24,10
22,18,4
7,0,8
19,6,6
10,5,3
18,7,2
22,11,1
19,15,11
4,22,8
15,24,11
10,0,9
2,22,14
6,26,13
14,28,12
5,27,9
23,19,7
30,18,7
22,15,12
2,15,11
26,20,4
14,13,10
17,13,7
14,9,12
26,12,5
5,8,9
29,19,5
18,18,2
13,22,7
14,2,9
1,17,9
9,11,5
13,15,4
10,11,9
1,10,6
13,18,9
1,13,11
13,8,1
9,7,7
13,11,6
13,10,10
12,12,2
13,3,7
24,10,1
5,26,12
17,24,7
12,0,5
24,22,11
24,6,3
15,5,0
25,19,3
17,19,13
29,22,6
16,20,9
20,24,8
25,11,4
17,12,10
25,14,9
29,18,8
4,10,13
16,13,6
16,16,11
28,19,4
13,21,10
27,15,9
25,7,6
19,21,6
9,10,8
16,9,8
8,6,13
20,12,11
0,12,10
19,13,7
20,5,8
12,11,5
7,3,11
19,9,9
3,12,11
15,15,4
15,18,9
12,3,6
4,25,11
6,17,6
24,9,4
6,20,11
3,5,8
15,8,1
15,27,14
23,10,0
15,11,6
22,9,10
23,22,10
6,12,12
15,4,3
15,3,7
7,25,12
15,6,12
7,9,4
6,5,9
14,7,8
16,19,12
7,18,9
7,21,14
19,24,7
26,22,11
5,2,7
26,15,8
19,19,13
1,11,7
3,23,11
22,24,8
7,6,12
13,9,2
22,8,0
19,12,10
6,27,10
10,14,12
22,17,5
22,20,10
2,19,13
18,6,3
6,23,12
21,13,3
18,9,8
5,24,8
22,12,11
2,12,10
14,15,3
14,18,8
5,17,5
13,6,10
2,5,7
14,27,13
14,11,5
17,10,6
14,6,11
5,5,8
29,16,4
8,12,8
20,15,1
20,18,6
17,3,3
9,25,8
1,14,8
9,28,13
13,12,3
20,11,3
25,17,12
20,10,7
12,16,4
9,20,14
18,19,12
13,24,13
12,25,9
20,6,9
12,9,1
9,13,11
21,19,9
24,24,4
17,28,9
21,12,6
21,11,10
15,9,2
17,21,6
12,13,12
24,19,10
4,19,9
15,21,12
12,6,9
25,16,2
4,12,6
4,11,10
23,13,3
8,15,9
20,21,7
7,19,10
4,4,7
19,25,8
4,7,12
16,10,5
23,9,5
8,11,11
28,16,3
23,8,9
27,12,8
7,12,7
19,18,5
16,3,2
8,3,12
20,9,10
0,9,9
14,3,8
19,11,2
7,7,13
26,9,6
10,12,8
22,15,1
12,24,12
22,18,6
19,6,8
3,6,5
10,5,5
18,7,4
3,9,10
22,11,3
4,22,10
6,14,5
16,28,8
15,24,13
7,30,10
22,6,9
5,27,11
23,19,9
7,23,7
7,22,11
26,24,4
6,2,8
10,30,11
26,17,1
5,6,9
26,20,6
14,13,12
26,19,10
10,23,8
17,13,9
26,12,7
29,19,7
18,18,4
10,15,9
13,22,9
10,18,14
1,17,11
9,11,7
13,15,6
10,11,11
21,17,5
13,18,11
9,4,4
9,7,9
13,10,12
12,12,4
13,3,9
24,10,3
25,26,8
12,0,7
24,6,5
9,29,10
25,19,5
8,9,7
20,12,0
29,22,8
9,22,7
16,20,11
13,25,10
20,24,10
16,4,3
25,11,6
17,12,12
9,15,4
25,14,11
16,13,8
16,16,13
28,19,6
13,21,12
12,22,8
9,10,10
28,12,3
3,24,10
21,16,8
20,12,13
12,15,5
24,21,3
19,13,9
15,22,9
12,10,11
19,9,11
4,16,8
23,18,1
3,12,13
15,15,6
15,18,11
27,21,4
12,3,8
4,25,13
6,17,8
24,9,6
4,9,5
6,20,13
3,5,10
15,8,3
23,10,2
15,11,8
2,6,6
14,12,4
26,18,2
15,3,9
7,25,14
7,9,6
6,5,11
14,7,10
16,19,14
7,18,11
19,24,9
3,27,11
10,9,7
1,11,9
3,23,13
22,24,10
13,9,4
22,8,2
19,12,12
6,27,12
22,17,7
30,19,6
22,20,12
14,23,4
13,1,5
14,22,8
18,6,5
6,23,14
14,25,13
18,9,10
5,24,10
2,12,12
14,15,5
26,21,3
2,5,9
17,15,2
14,11,7
25,17,1
17,10,8
5,5,10
9,16,5
29,16,6
8,12,10
20,15,3
20,18,8
17,3,5
1,14,10
13,12,5
20,10,9
0,10,8
12,16,6
12,25,11
12,9,3
9,13,13
21,19,11
13,0,8
12,1,4
17,28,11
4,23,9
12,4,9
21,11,12
15,9,4
17,21,8
24,19,12
4,19,11
15,21,14
25,16,4
9,19,6
4,11,12
23,13,5
8,15,11
16,17,10
20,21,9
7,19,12
4,4,9
19,25,10
16,10,7
8,11,13
28,16,5
0,13,9
7,12,9
19,15,2
19,18,7
16,3,4
3,21,9
20,9,12
22,22,6
19,10,8
18,12,0
26,9,8
3,14,6
10,12,10
22,15,3
12,24,14
22,18,8
19,6,10
11,9,2
6,21,10
3,6,7
10,5,7
18,7,6
3,9,12
22,11,5
2,10,8
4,22,12
6,14,7
16,28,10
7,30,12
6,7,4
14,9,3
23,19,11
5,11,5
14,2,0
7,22,13
26,24,6
17,9,0
6,2,10
5,3,6
10,30,13
10,23,10
17,13,11
26,12,9
29,19,9
18,18,6
10,15,11
13,22,11
22,21,9
9,11,9
18,10,7
13,15,8
10,11,13
21,17,7
13,18,13
9,4,6
9,7,11
2,9,11
17,19,4
24,18,4
5,14,6
13,3,11
17,12,1
24,10,5
4,10,4
25,23,5
8,13,7
25,26,10
12,0,9
9,29,12
25,19,7
8,9,9
20,12,2
25,18,11
9,22,9
16,20,13
8,2,6
13,25,12
20,24,12
16,4,5
25,11,8
19,9,0
12,29,13
16,13,10
28,19,8
13,21,14
12,22,10
9,10,12
3,24,12
19,4,6
21,16,10
15,30,10
12,15,7
22,9,1
24,21,5
19,13,11
15,22,11
12,10,13
4,13,5
4,16,10
23,18,3
15,15,8
23,17,7
15,18,13
27,21,6
12,3,10
24,9,8
4,9,7
15,8,5
23,10,4
15,11,10
27,14,3
7,13,6
14,12,6
7,16,11
26,18,4
10,21,6
7,9,8
19,12,1
14,7,12
26,10,5
10,14,3
26,13,10
18,16,2
19,24,11
1,15,9
3,27,13
10,9,9
22,12,2
1,8,6
1,11,11
13,6,1
18,20,13
10,2,6
2,24,11
13,9,6
22,8,4
6,27,14
6,11,6
30,19,8
13,1,7
5,24,12
23,16,10
14,15,7
17,22,7
26,21,5
14,11,9
25,17,3
29,20,6
20,6,0
17,10,10
29,16,8
9,16,7
21,19,0
20,15,5
13,19,10
20,18,10
17,3,7
1,14,12
9,9,4
9,8,8
13,12,7
20,10,11
0,10,10
12,13,3
12,16,8
12,9,5
17,25,8
12,1,6
4,23,11
12,4,11
16,29,9
3,3,8
25,20,4
15,9,6
17,21,10
4,19,13
15,2,3
27,24,9
25,16,6
9,19,8
23,13,7
8,15,13
16,17,12
20,21,11
25,8,7
7,19,14
19,22,7
4,4,11
19,25,12
16,10,9
10,24,9
28,16,7
0,13,11
19,15,4
12,19,9
19,18,9
16,3,6
3,21,11
22,22,8
19,10,10
3,14,8
10,12,12
22,15,5
22,18,10
2,18,9
6,21,12
3,6,9
18,7,8
15,12,7
22,11,7
22,10,11
2,10,10
14,13,3
4,22,14
6,14,9
14,16,8
16,28,12
5,15,5
7,27,9
7,30,14
14,9,5
5,11,7
14,2,2
26,24,8
17,9,2
10,27,10
5,3,8
10,23,12
18,18,8
10,15,13
13,22,13
22,21,11
2,21,10
9,11,11
18,10,9
21,17,9
24,22,4
9,4,8
9,7,13
17,19,6
5,14,8
17,12,3
25,14,2
24,10,7
4,10,6
16,16,4
25,23,7
8,13,9
27,15,2
20,19,7
17,7,9
16,9,1
9,29,14
8,6,6
16,8,5
8,9,11
20,12,4
19,13,0
9,22,11
8,2,8
20,5,1
13,25,14
16,4,7
25,11,10
19,9,2
21,20,10
28,19,10
12,22,12
19,4,8
